Production_Budget,Worldwide_Gross
14000000,1000000
7000000,1000000
1000000,1000000
1700000,1000915
800000,1001437
3000000,1007535
5500000,1008098
2400000,1008849
1000000,1009819
10000000,1011054
700000,1017107
12700000,1022720
5500000,1023424
13000000,1024175
950000,1024640
6500000,1029017
6000000,1030920
20000000,1031872
225000,1032075
18000000,1034589
1000000,1036
4200000,1044039
1987650,1044143
30000000,1044212
5000000,1050861
9000000,1053788
22000000,1054361
250000,1055671
5500000,1060512
1600000,1060591
4000000,1065429
20000000,1065907
10100000,1066555
1000000,1067481
9000000,1069318
36000000,1069334
10000000,1069454
8000000,1071240
5000000,1082044
26000000,1083350
12500000,1089445
27000000,1090947
2500000,1094998
8000000,1095369
1780000,1100310
8500000,1109199
225000,1109276
6500000,1109660
200000,1109808
12500000,1110186
7000000,1110509
500000,1111615
75000000,1115008
500000,1115313
500000,1127331
500000,1131261
2000000,1134358
700000,1140965
55000000,1147784
13000000,1151330
13000000,1152117
2000000,1152411
200000,1161843
8000000,1163056
1500000,1165881
13000000,1173673
10100000,1183658
20000000,1186538
2500000,1187266
12000000,1188194
25000000,1190003
20000000,1190018
900000,1196321
5250000,1200010
15000000,1200216
8400000,1207007
12500000,1212799
200000,1217
2700000,1220807
1500000,1222889
50000000,1224330
16000000,1224525
23000,1227508
6000000,1233694
15500000,1237615
1000000,1239183
9000000,1242
7000000,1246141
500000,1250798
850000,1251749
4750000,1253413
42000000,1259693
3000000,1266955
10000000,1276984
10000000,1279681
2500000,1282084
1000000,1287480
10000000,1291645
400000,1293295
15000000,1294640
1400000,1303747
18000000,1305114
6400000,1305195
32000000,1308696
780000,1310470
77500000,1311213
35000000,1320043
175000,1321194
4000000,1328679
1400000,1329249
7500000,1333124
8000000,1335672
12000,1336
5000,1338
4600000,1340891
6000000,1348205
312000,1350248
19000000,1353824
1000000,1355079
1100000,1355728
100000,1358
17000000,1361045
19100000,1361512
2000000,1370646
4500000,1400726
1200000,1414845
6000000,1418304
1900000,1420578
7000000,1429299
4000000,1430241
10000000,1430721
2000000,1433319
1100000,1436000
439000,1438000
12000000,1442338
1900000,1445366
650000,1447
10000000,1475746
2000000,1477002
16000000,1477650
4500000,1480006
35000000,1500000
4500000,1500000
825000,1500711
4200000,1502188
12000000,1506998
7000000,1508593
25000000,1513793
5000000,1526697
9000000,1530535
350000,1531154
9000000,1533324
560000,1537860
10000000,1562800
17000000,1569918
2000000,1577287
6200000,1579146
100000,1594798
120000,1597486
10400000,1610194
12500000,1612957
3750000,1625707
1400000,1632
7000000,1632000
10000000,1638202
10000000,1641788
40000000,1641825
20000000,1646664
1300000,1647780
300000,1652472
15000000,1658706
4000000,1660708
2000000,1660865
7000000,1661464
16000000,1669971
1000000,1678874
9200000,1685269
16000000,1686429
4500000,1687311
1500000,1690913
400000,1692693
15500000,1693000
25000000,1702112
12000000,1703125
4700000,1705139
300000,1711
4750000,1728953
40000000,1738477
7000000,1738692
2300000,1744740
1000000,1744858
14000000,1755212
10000000,1759252
1700000,1777043
500000,1778
12000000,1779284
609000,1782000
13000000,1784763
2000000,1785505
7000000,1785645
8000000,1793359
10000000,1799322
58000000,1802521
3000000,1803064
22000000,1810078
66000,1815440
7300000,1818681
3000000,1821983
500000,1822
10000000,1822250
8300000,1829142
13200000,1831718
20000,1860
25000000,1872994
15600000,1876298
7000000,1891936
80000000,1900451
20000000,1903434
10000000,1930282
15000000,1953732
15000000,1954202
2000000,1985292
10000,1987
17000000,10000000
3000000,10000000
2500000,10000000
672000,10000000
350000,10000000
110000,10000000
12500000,10011
65000000,10014234
92000000,10017322
10000000,10019109
13000000,10020081
6000000,10021175
45000000,10021787
2000000,10024
3000000,10027047
