Weight,Length1,Length2,Length3,Height,Width,Species_Bream,Species_Parkki,Species_Perch,Species_Smelt,Species_Pike,Species_Roach,Species_Whitefish
0.004060606,0.034951456,0.025454545,0.033783784,0.000603647,0,0,0,0,1,0,0,0
0.004242424,0.050485437,0.04,0.047297297,0,0.01420839,0,0,0,1,0,0,0
0.005939394,0.075728155,0.065454545,0.074324324,0.027628478,0.01420839,0,0,0,1,0,0,0
0.004545455,0.048543689,0.038181818,0.047297297,0.01413928,0.015843482,0,0,0,1,0,0,0
0.006,0.073786408,0.061818182,0.072635135,0.028179887,0.016675124,0,0,0,1,0,0,0
0.007393939,0.089320388,0.083636364,0.084459459,0.031842402,0.029347091,0,0,0,1,0,0,0
0.008121212,0.081553398,0.072727273,0.079391892,0.040722984,0.031207713,0,0,0,1,0,0,0
0.005939394,0.062135922,0.050909091,0.060810811,0.020593664,0.032363554,0,0,0,1,0,0,0
0.006060606,0.073786408,0.061818182,0.072635135,0.028179887,0.033293866,0,0,0,1,0,0,0
0.005272727,0.06407767,0.052727273,0.064189189,0.014499147,0.033491204,0,0,0,1,0,0,0
0.005878788,0.05631068,0.047272727,0.054054054,0.027140917,0.046853857,0,0,0,1,0,0,0
0.007393939,0.077669903,0.069090909,0.077702703,0.021011574,0.048770862,0,0,0,1,0,0,0
0.003575758,0,0,0,0.022265303,0.050800631,0,0,1,0,0,0,0
0.012060606,0.122330097,0.12,0.125,0.069872189,0.117219215,0,0,0,1,0,0,0
0.019393939,0.097087379,0.096363636,0.099662162,0.104454221,0.134133965,0,0,1,0,0,0,0
0.011939394,0.110679612,0.107272727,0.108108108,0.066424434,0.14371899,0,0,0,1,0,0,0
0.024242424,0.104854369,0.103636364,0.125,0.14039446,0.172023004,0,0,0,0,0,1,0
0.036363636,0.132038835,0.129090909,0.14527027,0.281439003,0.178535183,0,1,0,0,0,0,0
0.033333333,0.116504854,0.114545455,0.130067568,0.297128031,0.180268945,0,1,0,0,0,0,0
0.024242424,0.122330097,0.12,0.121621622,0.121634956,0.195139829,0,0,1,0,0,0,0
0.031212121,0.145631068,0.141818182,0.141891892,0.166235214,0.223274696,0,0,1,0,0,0,0
0.054545455,0.170873786,0.169090909,0.185810811,0.329498624,0.229110284,0,1,0,0,0,0,0
0.051515152,0.20776699,0.210909091,0.206081081,0.194653077,0.243064953,0,0,1,0,0,0,0
0.041818182,0.174757282,0.178181818,0.194256757,0.207207782,0.250070478,0,0,0,0,0,1,0
0.047272727,0.194174757,0.189090909,0.209459459,0.223303112,0.26172756,0,0,0,0,0,1,0
0.072727273,0.194174757,0.192727273,0.211148649,0.386787087,0.26365866,0,1,0,0,0,0,0
0.042424242,0.159223301,0.163636364,0.163851351,0.165979824,0.266957037,0,0,1,0,0,0,0
0.051515152,0.2,0.203636364,0.202702703,0.197880269,0.280390167,0,0,1,0,0,0,0
0.048484848,0.188349515,0.192727273,0.192567568,0.226797302,0.282278981,0,0,1,0,0,0,0
0.047272727,0.180582524,0.187272727,0.179054054,0.201455719,0.292596978,0,0,1,0,0,0,0
0.087878788,0.238834951,0.238181818,0.258445946,0.464808516,0.297347203,0,1,0,0,0,0,0
0.052727273,0.20776699,0.207272727,0.226351351,0.225682876,0.299813938,0,0,0,0,0,1,0
0.090909091,0.211650485,0.210909091,0.22972973,0.415843423,0.316474966,0,1,0,0,0,0,0
0.072727273,0.231067961,0.229090909,0.251689189,0.254588301,0.316686401,0,0,0,0,0,1,0
0.084848485,0.223300971,0.223636364,0.243243243,0.395226542,0.316700496,0,1,0,0,0,0,0
0.06969697,0.223300971,0.229090909,0.231418919,0.243148021,0.318547023,0,0,1,0,0,0,0
0.060606061,0.168932039,0.174545455,0.175675676,0.202802317,0.320534506,0,0,1,0,0,0,0
0.084848485,0.262135922,0.256363636,0.273648649,0.279860232,0.321013757,0,0,0,0,0,1,0
0,0.223300971,0.22,0.236486486,0.275518614,0.324763194,0,0,0,0,0,1,0
0.121212121,0.436893204,0.434545455,0.439189189,0.222861985,0.328146143,0,0,0,0,1,0,0
0.066666667,0.225242718,0.225454545,0.241554054,0.257670385,0.330979364,0,0,0,0,0,1,0
0.072727273,0.242718447,0.247272727,0.248310811,0.254321303,0.332642648,0,0,1,0,0,0,0
0.103030303,0.223300971,0.223636364,0.243243243,0.445050672,0.333051421,0,1,0,0,0,0,0
0.072727273,0.242718447,0.247272727,0.248310811,0.227041083,0.349205007,0,0,1,0,0,0,0
0.078787879,0.242718447,0.247272727,0.248310811,0.254321303,0.349205007,0,0,1,0,0,0,0
0.081818182,0.242718447,0.247272727,0.248310811,0.240681193,0.349205007,0,0,1,0,0,0,0
0.078787879,0.229126214,0.234545455,0.236486486,0.270225091,0.350473613,0,0,1,0,0,0,0
0.087878788,0.252427184,0.247272727,0.261824324,0.284730042,0.352418809,0,0,0,0,0,1,0
0.066666667,0.223300971,0.229090909,0.231418919,0.230088341,0.353433694,0,0,1,0,0,0,0
0.072727273,0.215533981,0.210909091,0.226351351,0.260473863,0.356140054,0,0,0,0,0,1,0
0.078787879,0.252427184,0.256363636,0.256756757,0.239578375,0.363159675,0,0,1,0,0,0,0
0.090909091,0.252427184,0.256363636,0.256756757,0.293906644,0.363159675,0,0,1,0,0,0,0
0.090909091,0.262135922,0.265454545,0.265202703,0.202575949,0.363441588,0,0,1,0,0,0,0
0.087878788,0.25631068,0.26,0.260135135,0.245220157,0.364005413,0,0,1,0,0,0,0
0.097575758,0.281553398,0.272727273,0.302364865,0.301063348,0.36417456,0,0,0,0,0,1,0
0.121212121,0.266019417,0.265454545,0.287162162,0.500179933,0.368741543,0,1,0,0,0,0,0
0.075757576,0.223300971,0.229090909,0.231418919,0.230088341,0.369291272,0,0,1,0,0,0,0
0.109090909,0.300970874,0.301818182,0.298986486,0.273446479,0.371546572,0,0,1,0,0,0,0
0.136363636,0.281553398,0.283636364,0.282094595,0.322986197,0.377114344,0,0,1,0,0,0,0
0.103030303,0.27184466,0.274545455,0.273648649,0.263898401,0.377396256,0,0,1,0,0,0,0
0.090909091,0.250485437,0.247272727,0.268581081,0.23658916,0.38154037,0,0,0,0,0,1,0
0.096969697,0.26407767,0.256363636,0.273648649,0.271153779,0.387967975,0,0,0,0,0,1,0
0.096969697,0.252427184,0.256363636,0.278716216,0.307918229,0.390829387,0,0,0,0,0,1,0
0.087878788,0.281553398,0.283636364,0.282094595,0.269702704,0.391491881,0,0,1,0,0,0,0
0.102424242,0.281553398,0.283636364,0.310810811,0.336997783,0.392929635,0,0,0,0,0,1,0
0.109090909,0.312621359,0.305454545,0.322635135,0.311006118,0.402909337,0,0,0,0,0,1,0
0.209090909,0.553398058,0.547272727,0.543918919,0.270921607,0.41291723,0,0,0,0,1,0,0
0.066666667,0.242718447,0.247272727,0.248310811,0.220221028,0.415454443,0,0,1,0,0,0,0
0.181818182,0.530097087,0.525454545,0.523648649,0.264676178,0.418950158,0,0,0,0,1,0,0
0.146666667,0.304854369,0.309090909,0.358108108,0.568334049,0.418978349,1,0,0,0,0,0,0
0.121212121,0.283495146,0.274545455,0.304054054,0.329011063,0.434088859,0,0,0,0,0,1,0
0.165454545,0.300970874,0.301818182,0.324324324,0.543259464,0.436456924,0,1,0,0,0,0,0
0.132121212,0.339805825,0.329090909,0.324324324,0.31573082,0.436456924,0,0,1,0,0,0,0
0.181818182,0.469902913,0.465454545,0.489864865,0.2309764,0.438430311,0,0,0,0,1,0,0
0.113939394,0.293203883,0.294545455,0.293918919,0.290505323,0.43952977,0,0,1,0,0,0,0
0.151515152,0.357281553,0.356363636,0.347972973,0.353598087,0.44494249,0,0,1,0,0,0,0
0.181818182,0.32038835,0.32,0.341216216,0.55951151,0.449142986,0,1,0,0,0,0,0
0.119393939,0.310679612,0.312727273,0.307432432,0.280498706,0.449847767,0,0,1,0,0,0,0
0.163636364,0.312621359,0.32,0.336148649,0.386102179,0.451059991,0,0,0,0,0,0,1
0.163636364,0.322330097,0.329090909,0.346283784,0.372462069,0.451186852,0,0,0,0,0,0,1
0.175757576,0.32038835,0.325454545,0.378378378,0.62405535,0.459235453,1,0,0,0,0,0,0
0.276363636,0.631067961,0.62,0.619932432,0.322231638,0.461617614,0,0,0,0,1,0,0
0.157575758,0.347572816,0.347272727,0.339527027,0.315684385,0.463379567,0,0,1,0,0,0,0
0.160606061,0.347572816,0.347272727,0.339527027,0.308974612,0.463379567,0,0,1,0,0,0,0
0.303030303,0.419417476,0.42,0.466216216,0.698303983,0.468031123,1,0,0,0,0,0,0
0.181818182,0.489320388,0.483636364,0.506756757,0.244245034,0.470342806,0,0,0,0,1,0,0
0.22,0.365048544,0.374545455,0.41722973,0.638566105,0.480364795,1,0,0,0,0,0,0
0.309090909,0.631067961,0.62,0.619932432,0.295822063,0.480858142,0,0,0,0,1,0,0
0.175757576,0.32038835,0.32,0.344594595,0.414914735,0.486186288,0,0,0,0,0,1,0
0.151515152,0.347572816,0.347272727,0.339527027,0.322394159,0.495968651,0,0,1,0,0,0,0
0.260606061,0.54368932,0.538181818,0.535472973,0.322812068,0.497420501,0,0,0,0,1,0,0
0.181818182,0.376699029,0.369090909,0.359797297,0.339946368,0.505722824,0,0,1,0,0,0,0
0.185454545,0.351456311,0.356363636,0.371621622,0.409180084,0.512235002,0,0,0,0,0,0,1
0.236363636,0.390291262,0.392727273,0.442567568,0.635083524,0.513419035,1,0,0,0,0,0,0
0.206060606,0.318446602,0.329090909,0.376689189,0.618123353,0.514278868,1,0,0,0,0,0,0
0.193939394,0.394174757,0.392727273,0.385135135,0.341710876,0.524921065,0,0,1,0,0,0,0
0.164848485,0.339805825,0.338181818,0.368243243,0.39699105,0.525202977,0,0,0,0,0,1,0
0.303030303,0.411650485,0.410909091,0.462837838,0.733837921,0.530982183,1,0,0,0,0,0,0
0.272727273,0.390291262,0.392727273,0.444256757,0.712565153,0.535098106,1,0,0,0,0,0,0
0.343636364,0.693203883,0.683636364,0.673986486,0.351949665,0.538791159,0,0,0,0,1,0,0
0.303030303,0.669902913,0.665454545,0.662162162,0.303657871,0.542456022,0,0,0,0,1,0,0
0.272727273,0.374757282,0.387272727,0.4375,0.689202837,0.546882048,1,0,0,0,0,0,0
0.303030303,0.40776699,0.405454545,0.462837838,0.725433291,0.551392648,1,0,0,0,0,0,0
